"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20140401","2014","4","201404","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","7267609","false","0","false","24770337.29","0","24770337.29","0","false","true",
"C","M","20140101","2014","1","201401","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","9185014","false","0","false","30423330.012","0","30423330.012","0","false","true",
"C","M","20140201","2014","2","201402","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","8651797","false","0","false","0","32298379.887","32298379.887","0","false","true",
"C","M","20140201","2014","2","201402","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","6195502","false","0","false","20614512.884","0","20614512.884","0","false","true",
"C","M","20140101","2014","1","201401","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","10346726","false","0","false","0","40215101.783","40215101.783","0","false","true",
"C","M","20140701","2014","7","201407","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","7933489","false","0","false","25668643.158","0","25668643.158","0","false","true",
"C","M","20140601","2014","6","201406","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","16679247","false","0","false","0","59594101.052","59594101.052","0","false","true",
"C","M","20140801","2014","8","201408","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","7712660","false","0","false","23360791.281","0","23360791.281","0","false","true",
"C","M","20140701","2014","7","201407","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","10251253","false","0","false","0","33370592.306","33370592.306","0","false","true",
"C","M","20140501","2014","5","201405","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","8348749","false","0","false","26409463.416","0","26409463.416","0","false","true",
"C","M","20140601","2014","6","201406","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","10125339","false","0","false","29081875.254","0","29081875.254","0","false","true",
"C","M","20140501","2014","5","201405","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","16765153","false","0","false","0","55987927.639","55987927.639","0","false","true",
"C","M","20140301","2014","3","201403","826","GBR","United Kingdom","X","Export","4","AFG","Afghanistan","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","934","false","0","false","0","4466.761","4466.761","0","false","true",
